id,name,slug,category,skus,price_amounts,stock_values,dietary_tags,allergens,issues
ade5c8b4-ecfd-4795-a2e1-1872e37d4ce3,"Rzodkiew Oshinko (Takuan) marynowana, pocięta 400g - Sakura",KIMCHI-4796,Owoce / Marynowane warzywa,KIMCHI-4796,10.9|10.9,100,,,missing_allergens|missing_storage_zone|missing_english_translation
145221e5-27fc-46ed-9241-509572131c61,Rzodkiew Oshinko (Takuan) marynowana w zalewie 1kg,KIMCHI-84,Owoce / Marynowane warzywa,KIMCHI-84,19.5|19.5,100,,sulphites,missing_english_translation
452c753e-7778-4a51-8bc5-55baefd028ad,"Sakura Mochi, oryginalne ryżowe ciasteczka japońskie o smaku wiśni 130g - Seiki",KIMCHI-4374,Słodycze / Przekąski,KIMCHI-4374,21.9|21.9,100,,soybeans,missing_storage_zone|missing_english_translation
2cc7d1d2-c0c8-4502-ae79-f1c0e30729b6,Sambal Oelek (chili 64%) z dodatkiem czosnku 225ml - Flying Goose,KIMCHI-535,"Sosy, marynaty",KIMCHI-535,12.99|12.99,100,,,missing_allergens|missing_storage_zone|missing_english_translation
f5497082-c367-4c22-940c-7718262f4248,"Samgyetang Noodles High Protein, zupa makaronowa kurczak z imbirem 4 x 100g - Paldo",KIMCHI-5252,Ramyun / Ramen,KIMCHI-5252,21.9|21.9,100,,cereals|soybeans|fish,missing_storage_zone|missing_english_translation
371163d6-5a21-4576-b7a3-f5cc53b9d218,Sardynki w sosie pomidorowym 155g - Mega,KIMCHI-5586,Dania gotowe,KIMCHI-5586,8.99|8.99,100,,,missing_allergens|missing_english_translation
1d04934a-70f4-4d0f-b534-852551dead68,Sardynki w sosie pomidorowym z chili 155g - Mega,KIMCHI-5584,Dania gotowe,KIMCHI-5584,8.99|8.99,100,,fish,missing_english_translation
51a14075-244a-45b4-9c1c-1bb54188c3ea,Sardynki w sosie pomidorowym z chili 425g - Mega,KIMCHI-5585,Dania gotowe,KIMCHI-5585,16.5|16.5,100,,fish,missing_english_translation
288d1bc6-b883-4569-a929-0f92cfc1ff33,"S&B Oriental Curry Powder, mieszanka curry w proszku 85g",KIMCHI-4173,Przyprawy,KIMCHI-4173,19.5|19.5,100,,,missing_allergens|missing_english_translation
989795d6-d194-432e-b474-1fddf50f9bb0,Sezam biały obłuszczony 100g,KIMCHI-273,Sezam,KIMCHI-273,7.7|7.7,100,,sesame,missing_english_translation
b3ff6c37-98da-4405-87ba-cc7a1d73145c,Sezam biały obłuszczony 500g,KIMCHI-272,Sezam,KIMCHI-272,17.99|17.99,100,,sesame,missing_english_translation
f40c676e-275c-43cb-81c3-64fbdbd613e5,Sezam biały prażony 100g - Foreway,KIMCHI-4520,Sezam,KIMCHI-4520,17.5|17.5,100,,sesame,missing_english_translation
fb506d96-fec8-4bfe-9911-f607926f93f2,Sezam biały prażony do sushi 100g,KIMCHI-103,Sezam,KIMCHI-103,8.99|8.99,100,,sesame,missing_english_translation
d46874ee-6b6d-4f06-8a62-846e63d82202,Sezam biały prażony do sushi 500g,KIMCHI-82,Sezam,KIMCHI-82,28.2|28.2,100,,sesame,missing_english_translation
178f3249-458a-4ca4-b414-1578c10a4cf4,Sezam biały prażony Ukiyo-e 60g - Goma Makoto,KIMCHI-3697,Sezam,KIMCHI-3697,13.5|13.5,100,,sesame,missing_english_translation
077bdd48-e16e-4ce8-a5f3-a4cab5d9a1f0,Sezam biały prażony wasabi 100g - Foreway,KIMCHI-4522,Sezam,KIMCHI-4522,19.7|19.7,100,,sesame,missing_english_translation
469ce28a-8573-4ca1-91d2-64cfb80aadf4,Sezam czarny do sushi 100g,KIMCHI-104,Sezam,KIMCHI-104,8.99|8.99,100,,sesame,missing_english_translation
cfbfcf6b-f828-4469-a104-5b67e3fdedc7,Sezam czarny do sushi 500g,KIMCHI-83,Sezam,KIMCHI-83,19.99|19.99,100,,sesame,missing_english_translation
fb4060d7-ef54-4f1f-b15a-8d8aa46b41f8,Sezam czarny prażony 91g - Foreway,KIMCHI-4521,Sezam,KIMCHI-4521,17.5|17.5,100,,sesame,missing_english_translation
554114af-2738-4201-8e67-cc4d539e62d5,Sezam czarny prażony Ukiyo-e 60g - Goma Makoto,KIMCHI-3696,Sezam,KIMCHI-3696,13.5|13.5,100,,sesame,missing_english_translation
5e2943ec-565f-40ad-910d-fe16d40b67a5,Sezam obłuszczony biały 100g - Thai Pride,KIMCHI-572,Sezam,KIMCHI-572,9|9,100,,sesame,missing_storage_zone|missing_english_translation
b48a12e2-ce25-4858-85aa-720a1731c9cd,Shimmering Petit BB 30ml - rozświetlający krem BB - Holika Holika,KIMCHI-5461,Koreańskie kosmetyki,KIMCHI-5461,38.9|38.9,100,,,missing_allergens|missing_nutrition|missing_storage_zone|missing_english_translation
0173d4c2-bd6a-4eb6-9faa-c1b395597c14,"Shin Katsuo Dashi no Moto, bulion z tuńczyka bonito w proszku (2 x 500g) 1kg - Marutomo",KIMCHI-3597,Buliony,KIMCHI-3597,70.9|70.9,100,,fish,missing_english_translation
6cb4e594-873e-4da1-8fa5-bb7bd88ed915,"Shin Katsuo Dashi no Moto, bulion z tuńczyka bonito w proszku 48g (8 x 6g) - Marutomo",KIMCHI-3473,Buliony,KIMCHI-3473,17.5|17.5,100,,fish,missing_nutrition|missing_english_translation
2db07b0e-b3db-4a9e-8f59-0728a9e108f2,Shirataki hand-made Konjac czarny kostka 400g - Ishibashi-Ya,KIMCHI-5094,Makaron konjac,KIMCHI-5094,14.9|14.9,100,,,missing_allergens|missing_english_translation
90ceff29-f09e-4c82-af6c-6d749ef797e8,"SHIRATAMA-KO proszek, mąka ryżowa do mochi 85g - King",KIMCHI-3990,Mąki / Panierki / Tapioka,KIMCHI-3990,11.5|11.5,100,,,missing_allergens|missing_english_translation
f4403c8f-faf9-4160-bedb-49275227f93c,"Shiso-dzuke umeboshi, śliwki marynowane z shiso (12% soli) 100g - King of Plum",KIMCHI-4684,Owoce / Marynowane warzywa,KIMCHI-4684,11.2|11.2,100,,,missing_allergens|missing_country|missing_english_translation
c7abe525-3e07-46f7-ab8b-94a7159e4dd7,"Shizuoka Sencha, zielona herbata 50g - Maruka",KIMCHI-3796,Herbaty,KIMCHI-3796,20.5|20.5,100,,,missing_allergens|missing_nutrition|missing_english_translation
8556f559-170f-4e6f-b0ce-1d5961592ad7,"Sitko, cedzak japoński ze stali nierdzewnej ⌀12cm",KIMCHI-2904,Patelnie Wok / Grill,KIMCHI-2904,64.5|64.5,100,,,missing_ingredients|missing_allergens|missing_nutrition|missing_storage_zone|missing_unit_price|missing_english_translation
fdbb9bd9-4590-4175-86bc-b99be3b8f3fd,"Sitko, cedzak japoński ze stali nierdzewnej Ø13,5cm",KIMCHI-2247,Patelnie Wok / Grill,KIMCHI-2247,33|33,100,,,missing_ingredients|missing_allergens|missing_nutrition|missing_storage_zone|missing_unit_price|missing_english_translation
5ea18cb6-8d6c-4c0e-ab74-65e64d36f1eb,"Skin and Good Cera Cream gift set 60ml+20+20+20 - ceramidowy zestaw z nawilżającym kremem, emulsją i tonerem - Holika Holika",KIMCHI-5455,Koreańskie kosmetyki,KIMCHI-5455,159.9|159.9,100,,,missing_allergens|missing_nutrition|missing_storage_zone|missing_english_translation
5a250870-216a-4e55-88cc-a38c487cb2b0,Skrobia kukurydziana 420g - Knorr,KIMCHI-2883,Mąki / Panierki / Tapioka,KIMCHI-2883,15.7|15.7,100,,sulphites,missing_ingredients|missing_country|missing_english_translation
3658c95e-acd7-4b3d-9048-c7eb40b3372e,"Skrobia z tapioki, bezglutenowa 400g - Cock Brand",KIMCHI-467,Mąki / Panierki / Tapioka,KIMCHI-467,7.7|7.7,100,gluten-free,,missing_allergens|missing_english_translation
63f2b6d1-4c1a-43fb-b97e-49293823b862,Słodka pasta z czerwonej fasoli Anko Tsubuan 500g - Fuji,KIMCHI-3082,Słodycze / Przekąski,KIMCHI-3082,19.7|19.7,100,,,missing_allergens|missing_english_translation
ca7b7a43-6a34-4d8c-99a5-8f5e8ba65544,Słodki sos chili 320g - Sen Soy,KIMCHI-2603,"Sosy, marynaty",KIMCHI-2603,11.9|11.9,100,,,missing_allergens|missing_country|missing_english_translation
87f496ac-e804-422f-a8cf-746f017c6974,Słodki sos chili z mango 320g - Sen Soy,KIMCHI-2605,"Sosy, marynaty",KIMCHI-2605,10.99|10.99,100,,,missing_allergens|missing_country|missing_english_translation
620684d8-1cb3-47ec-861c-cbf4a6b38804,"Słodki sos sojowy Ketjap, Kecap Manis 600ml - ABC",KIMCHI-3862,Sosy / Marynaty / Oleje,KIMCHI-3862,18.2|18.2,100,,cereals|soybeans|sulphites,missing_english_translation
d41e1380-bb47-443d-867a-05c201800686,Słodko-pikantny sos chili do kurczaka 650ml - Cock Brand,KIMCHI-357,"Sosy, marynaty",KIMCHI-357,19.5|19.5,100,,,missing_allergens|missing_storage_zone|missing_english_translation
7034d6f8-9bcf-4a8e-9140-d57a23197e06,Słodzone skondensowane mleko 397g Longevity,KIMCHI-1198,Kawy,KIMCHI-1198,18.9|18.9,100,,milk,missing_country|missing_english_translation
df66a397-b2a2-42eb-8fb5-b099407e6236,"Słony sos sojowy Ketjap, Kecap Asin 600ml - ABC",KIMCHI-5350,Sosy / Marynaty / Oleje,KIMCHI-5350,19.5|19.5,100,,cereals|soybeans|sulphites,missing_english_translation
137daf81-1ce1-48a6-b6db-09a9a7a81da7,Snacki Parae Gim z alg morskich o zmniejszonej zawartości soli 20g - Sempio,KIMCHI-4625,Słodycze / Przekąski,KIMCHI-4625,9.7|9.7,100,,sesame,missing_english_translation
816399d1-8827-49c7-95b4-aa46fd2c39fd,Snacki Parae Gim z alg morskich o zmniejszonej zawartości soli 8 x 5g - Sempio,KIMCHI-4585,Słodycze / Przekąski,KIMCHI-4585,26.99|26.99,100,,sesame,missing_english_translation
cd255a8d-311d-4be5-9025-ee7382194599,Snacki Parae Savory Roasted Seaweed Jaerae Gim z alg morskich 20g - Sempio,KIMCHI-5225,Słodycze / Przekąski,KIMCHI-5225,12.99|12.99,100,,sesame,missing_english_translation
4edf8247-5e11-4d32-90e7-cb31a482140b,Soda Tok Tok Clean Pore Bubble Foam pianka do mycia twarzy 150ml - Holika Holika,KIMCHI-5491,Koreańskie kosmetyki,KIMCHI-5491,83.9|83.9,100,,,missing_allergens|missing_nutrition|missing_storage_zone|missing_english_translation
e7e3bf86-4cda-483e-9d85-177427a39ed0,Sok z limonki 250ml - Golden Turtle,KIMCHI-3950,Napoje,KIMCHI-3950,7.5|7.5,100,,,missing_allergens|missing_nutrition|missing_english_translation
f40da944-b91b-432b-94c7-da3e86455111,Sok z limonki 250ml - House of Asia,KIMCHI-310,Napoje,KIMCHI-310,9.99|9.99,100,,,missing_allergens|missing_english_translation
59493864-0415-4fd2-8a04-c2dd5f9eb4f8,Sok z młodego kokosa 350ml - Foco,KIMCHI-607,Napoje,KIMCHI-607,8.5|8.5,100,,,missing_allergens|missing_english_translation
b7db0782-099a-42fb-a0d5-5a0eaef2dea2,Sok z owoców mango i marakui 350ml - Foco,KIMCHI-1306,Napoje,KIMCHI-1306,8.5|8.5,100,,,missing_allergens|missing_english_translation
68ff45b5-bb50-4955-ba9b-77c0fa56ec2e,Sok z pieczonego kokosa 350ml - Foco,KIMCHI-608,Napoje,KIMCHI-608,8.5|8.5,100,,,missing_allergens|missing_english_translation
54a86926-ee2e-4d7b-b96b-ad4d85389e77,"Sól morska do kimchi, drobny kryształ 1kg - CJO Essential",KIMCHI-4507,Sól,KIMCHI-4507,32.9|32.9,100,,,missing_allergens|missing_english_translation
e2a2c77f-7593-4d5a-8c8f-5c607a62d861,Sól morska do kimchi drobny kryształ 500g - Sempio,KIMCHI-2216,Sól,KIMCHI-2216,10.5|10.5,100,,,missing_description|missing_allergens|missing_english_translation
cd90e07d-2ad8-4770-b6e6-b4cd2372ba4e,"Sól morska do kimchi, gruby kryształ 1kg - CJO Essential",KIMCHI-2217,Sól,KIMCHI-2217,29.99|29.99,100,,,missing_allergens|missing_english_translation
9a3fbea8-093f-4aa4-b706-7fc33a831fa0,Solona pasta krewetkowa 340g Monika,KIMCHI-5588,Pasty smakowe,KIMCHI-5588,29.04|29.04,100,,crustaceans,missing_storage_zone|missing_english_translation
78f4678e-1890-4dd6-9389-e030f0fc9ef7,Sos amerykański 950g - Fanex,KIMCHI-3885,"Sosy, marynaty",KIMCHI-3885,23.99|23.99,100,,milk|mustard,missing_english_translation
5e94fa43-442a-4c70-9683-6bfb2291aee4,Sos arabski łagodny 950g - Fanex,KIMCHI-3886,"Sosy, marynaty",KIMCHI-3886,20.99|20.99,100,,milk|mustard,missing_english_translation
9c3358ff-cafd-49a9-a863-91271184a5c0,Sos barbecue 1kg - Fanex,KIMCHI-3898,"Sosy, marynaty",KIMCHI-3898,18.99|18.99,100,,,missing_allergens|missing_english_translation
b5ba04bd-eb3a-42a9-bdff-06b092341617,Sos barbecue 450g - Fanex,KIMCHI-3915,"Sosy, marynaty",KIMCHI-3915,11.5|11.5,2,,,missing_allergens|missing_english_translation
58ecc0a6-64b7-48d8-9b66-28a71cd5d749,Sos Barbecue Mississippi Original 510g - Fremont Company,KIMCHI-1355,Sosy / Marynaty / Oleje,KIMCHI-1355,22.5|22.5,100,gluten-free,mustard,missing_english_translation
9238f7af-af9a-42fd-9089-335e112a0c6a,"Sos Barbecue Mississippi Original XXL 1,8kg - Fremont Company",KIMCHI-1356,Sosy / Marynaty / Oleje,KIMCHI-1356,43.5|43.5,100,gluten-free,mustard,missing_english_translation
4fb655be-4372-4647-a10d-df9e96e4cea4,Sos chili Original Sambal Asli 335ml - ABC,KIMCHI-4726,"Sosy, marynaty",KIMCHI-4726,14.9|14.9,100,,,missing_allergens|missing_english_translation
f9e24a1c-90a2-4eff-8a0d-b162187ec8ef,Sos chili Sambal Oelek 360g Wendjoe,KIMCHI-225,"Sosy, marynaty",KIMCHI-225,13.3|13.3,100,,,missing_allergens|missing_english_translation
7585efab-6ff2-472d-9ad3-7142c90b2a78,Sos chili Sambal Oelek (chili 86%) 200g - Windmill,KIMCHI-3875,"Sosy, marynaty",KIMCHI-3875,8.7|8.7,100,,,missing_allergens|missing_country|missing_english_translation
d56cf741-5152-46ae-a325-738965bccaf9,Sos chili Sambal Oelek (chili 86%) 750g - Windmill,KIMCHI-860,"Sosy, marynaty",KIMCHI-860,18.99|18.99,100,,,missing_allergens|missing_country|missing_english_translation
287915de-af7b-43a0-b9da-aff6835edddd,"Sos chili Sriracha, bardzo ostry (chili 61%) 200ml Flying Goose",KIMCHI-183,"Sosy, marynaty",KIMCHI-183,13.7|13.7,100,,,missing_allergens|missing_english_translation
