sku,name,category,sourceUrl,oldCandidateAllergens,containsAllergens,mayContainAllergens,oldExtraVsContains,containsMissingFromOld,mayMissingFromOld,containsText,mayContainText
KIMCHI-5373,Danie makaron ramen spicy sesame Bowl 240g - Obento,dania-gotowe,https://kimchi.pl/product-pol-5373.html,cereals|soybeans|sesame,cereals|soybeans|sesame,,,,,"Produkt zawiera soję i pszenicę, sezam.",
KIMCHI-5371,Danie makaron świeży udon Korean Style BBQ 187g - Bibigo,dania-gotowe,https://kimchi.pl/product-pol-5371.html,cereals|soybeans|sesame,cereals|soybeans|sesame,,,,,"Produkt zawiera soję, pszenicę i sezam.",
KIMCHI-5370,Danie makaron świeży udon Korean Style Tteokbokki Chilli 187g - Bibigo,dania-gotowe,https://kimchi.pl/product-pol-5370.html,cereals|soybeans|sesame,cereals|soybeans|sesame,,,,,Produkt zawiera soję i pszenicę.,
KIMCHI-4903,Danie makaron Tom Yum z krewetkami 85g - MAMA Oriental Kitchen,dania-gotowe,https://kimchi.pl/product-pol-4903.html,cereals|crustaceans|fish|soybeans|molluscs,cereals|fish|soybeans|crustaceans,crustaceans|celery|sesame|molluscs,molluscs,,celery|sesame,"Produkt zawiera pszenicę, soję, ryby i owoce morza, .","Może zawierać śladowe ilości skorupiaków, sezamu, selera i mięczaków."
KIMCHI-4737,Danie makaron udon Sesame Teriyaki Bowl 240g - Obento,dania-gotowe,https://kimchi.pl/product-pol-4737.html,cereals|soybeans|sesame,cereals|soybeans|sesame,,,,,"Produkt zawiera pszenicę, soję i sezam.",
KIMCHI-4738,Danie makaron udon Spicy Kung Pao Bowl 240g - Obento,dania-gotowe,https://kimchi.pl/product-pol-4738.html,cereals|peanuts|soybeans|nuts|sesame,cereals|soybeans|nuts|sesame|peanuts,,,,,"Produkt zawiera soję, pszenicę, sezam i orzechy.",
KIMCHI-4339,Danie makaron Yakisoba UFO 128g - Nissin,ramyun-ramen,https://kimchi.pl/product-pol-4339.html,cereals|soybeans,cereals|soybeans,,,,,Produkt zawiera pszenicę i soję. Przechowywać w suchym i chłodnym miejscu.,
KIMCHI-4698,Danie makaron Yakisoba UFO BIG 167g - Nissin,ramyun-ramen,https://kimchi.pl/product-pol-4698.html,cereals|soybeans,cereals|soybeans,,,,,Produkt zawiera pszenicę i soję. Przechowywać w suchym i chłodnym miejscu.,
KIMCHI-5301,Danie makaron z sosem Bulgogi Tangle 105g - Samyang,ramyun-ramen,https://kimchi.pl/product-pol-5301.html,cereals|eggs|peanuts|soybeans|milk|nuts|celery|mustard|sesame|molluscs,cereals|soybeans|milk|celery|mustard,cereals|crustaceans|eggs|fish|peanuts|soybeans|milk|nuts|celery|mustard|sesame|molluscs,eggs|peanuts|nuts|sesame|molluscs,,crustaceans|fish,"Produkt zawiera pszenicę, gluten, soję, gorczycę, seler oraz mleko. Wy","produkowany w fabryce, w której przetwarzane są: seler, produkty zbożowe zawierające gluten, skorupiaki, jaja, ryby, mleko, małże, musztardę, orzechy i orzeszki ziemne, sezam, produkty sojowe. Przechowywać w suchym i chłodnym miejscu, z dala od działania promieni słonecznych."
KIMCHI-5302,Danie makaron z sosem czosnkowym Tangle 105g - Samyang,ramyun-ramen,https://kimchi.pl/product-pol-5302.html,cereals|eggs|peanuts|soybeans|milk|nuts|celery|mustard|sesame|molluscs,cereals|soybeans|milk|celery|sesame,cereals|crustaceans|eggs|fish|peanuts|soybeans|milk|nuts|celery|mustard|sesame|molluscs,eggs|peanuts|nuts|mustard|molluscs,,crustaceans|fish,"Produkt zawiera pszenicę, gluten, soję oraz mleko. Wy","produkowany w fabryce, w której przetwarzane są: seler, produkty zbożowe zawierające gluten, skorupiaki, jaja, ryby, mleko, małże, musztardę, orzechy i orzeszki ziemne, sezam, produkty sojowe. Przechowywać w suchym i chłodnym miejscu, z dala od działania promieni słonecznych."
KIMCHI-5300,Danie makaron z sosem grzybowym Tangle 105g - Samyang,ramyun-ramen,https://kimchi.pl/product-pol-5300.html,cereals|eggs|peanuts|soybeans|milk|nuts|celery|mustard|sesame|molluscs,cereals|soybeans|milk|mustard,cereals|crustaceans|eggs|fish|peanuts|soybeans|milk|nuts|celery|mustard|sesame|molluscs,eggs|peanuts|nuts|celery|sesame|molluscs,,crustaceans|fish,"Produkt zawiera pszenicę, gluten, soję oraz mleko. Wy","produkowany w fabryce, w której przetwarzane są: seler, produkty zbożowe zawierające gluten, skorupiaki, jaja, ryby, mleko, małże, musztardę, orzechy i orzeszki ziemne, sezam, produkty sojowe. Przechowywać w suchym i chłodnym miejscu, z dala od działania promieni słonecznych."
KIMCHI-5299,Danie makaron z sosem pomidorowym Tangle 105g - Samyang,ramyun-ramen,https://kimchi.pl/product-pol-5299.html,cereals|eggs|peanuts|soybeans|milk|nuts|celery|mustard|sesame|molluscs,cereals|soybeans|milk|sesame|celery,cereals|crustaceans|eggs|fish|peanuts|soybeans|milk|nuts|celery|mustard|sesame|molluscs,eggs|peanuts|nuts|mustard|molluscs,,crustaceans|fish,"Produkt zawiera pszenicę, gluten, soję, sezam oraz mleko. Wy","produkowany w fabryce, w której przetwarzane są: seler, produkty zbożowe zawierające gluten, skorupiaki, jaja, ryby, mleko, małże, musztardę, orzechy i orzeszki ziemne, sezam, produkty sojowe. Przechowywać w suchym i chłodnym miejscu, z dala od działania promieni słonecznych."
KIMCHI-4753,Danie o smaku ostrego kurczaka Cream Carbo Buldak 5 x 140g - Samyang Japan,ramyun-ramen,https://kimchi.pl/product-pol-4753.html,cereals|soybeans|milk,cereals|soybeans|milk,,,,,"Produkt zawiera pszenicę, soję oraz mleko. Przechowywać w suchym i chłodnym miejscu, z dala od działania promieni słonecznych.",
KIMCHI-5287,Danie o smaku ostrego kurczaka Jjajang Buldak 5 x 140g - Samyang Japan,dania-gotowe,https://kimchi.pl/product-pol-5287.html,cereals|peanuts|soybeans|nuts|sesame,cereals|soybeans|eggs,crustaceans|eggs|peanuts|milk|nuts|sesame,peanuts|nuts|sesame,eggs,crustaceans|eggs|milk,Produkt zawiera pszenicę i soję. Wy,"produkowany w fabryce, w której przetwarzane są: krewetki, kraby, jajka, składniki mleczne, orzeszki ziemne, kalmary, orzechy włoskie i sezam. Przechowywać w suchym i chłodnym miejscu, z dala od działania promieni słonecznych."
KIMCHI-5796,Danie o smaku ostrego kurczaka Quattro Cheese Buldak 145g - Samyang,ramyun-ramen,https://kimchi.pl/product-pol-5796.html,cereals|eggs|peanuts|soybeans|milk|nuts|celery|mustard|sesame|molluscs,cereals|soybeans|milk|celery,cereals|crustaceans|eggs|fish|peanuts|soybeans|nuts|celery|mustard|sesame|molluscs,eggs|peanuts|nuts|mustard|sesame|molluscs,,crustaceans|fish,"Produkt zawiera pszenicę, gluten, soję, seler oraz mleko. Wy","produkowany w fabryce, w której przetwarzane są: seler, produkty zbożowe zawierające gluten, skorupiaki, jaja, ryby, małże, musztardę, orzechy i orzeszki ziemne, sezam, produkty sojowe. Przechowywać w suchym i chłodnym miejscu, z dala od działania promieni słonecznych."
KIMCHI-5054,Danie o smaku ostrego kurczaka Quattro Cheese Buldak 145g - Samyang,ramyun-ramen,https://kimchi.pl/product-pol-5054.html,cereals|eggs|peanuts|soybeans|milk|nuts|celery|mustard|sesame|molluscs,cereals|soybeans|milk|celery,cereals|crustaceans|eggs|fish|peanuts|soybeans|nuts|celery|mustard|sesame|molluscs,eggs|peanuts|nuts|mustard|sesame|molluscs,,crustaceans|fish,"Produkt zawiera pszenicę, gluten, soję, seler oraz mleko. Wy","produkowany w fabryce, w której przetwarzane są: seler, produkty zbożowe zawierające gluten, skorupiaki, jaja, ryby, małże, musztardę, orzechy i orzeszki ziemne, sezam, produkty sojowe. Przechowywać w suchym i chłodnym miejscu, z dala od działania promieni słonecznych."
KIMCHI-4752,Danie o smaku ostrego kurczaka Quattro Cheese Buldak 5 x 145g - Samyang Japan,ramyun-ramen,https://kimchi.pl/product-pol-4752.html,cereals|eggs|peanuts|soybeans|milk|nuts|celery|mustard|sesame|molluscs,cereals|soybeans|milk,cereals|crustaceans|eggs|fish|peanuts|soybeans|milk|nuts|celery|mustard|sesame|molluscs,eggs|peanuts|nuts|celery|mustard|sesame|molluscs,,crustaceans|fish,"Produkt zawiera pszenicę, gluten, soję oraz mleko. Wy","produkowany w fabryce, w której przetwarzane są: seler, produkty zbożowe zawierające gluten, skorupiaki, jaja, ryby, mleko, małże, musztardę, orzechy i orzeszki ziemne, sezam, produkty sojowe. Przechowywać w suchym i chłodnym miejscu, z dala od działania promieni słonecznych."
KIMCHI-5055,Danie o smaku ostrego kurczaka Rose Buldak 140g - Samyang,ramyun-ramen,https://kimchi.pl/product-pol-5055.html,cereals|eggs|peanuts|soybeans|milk|nuts|celery|mustard|sesame|molluscs,cereals|soybeans|milk|sesame,cereals|crustaceans|eggs|fish|peanuts|soybeans|nuts|celery|mustard|molluscs,eggs|peanuts|nuts|celery|mustard|molluscs,,crustaceans|fish,"Produkt zawiera pszenicę, gluten, soję, sezam oraz mleko. Wy","produkowany w fabryce, w której przetwarzane są: seler, produkty zbożowe zawierające gluten, skorupiaki, jaja, ryby, małże, musztardę, orzechy i orzeszki ziemne, produkty sojowe. Przechowywać w suchym i chłodnym miejscu, z dala od działania promieni słonecznych."
KIMCHI-4805,Danie o smaku ostrego kurczaka Rose Buldak 5 x 140g - Samyang Japan,ramyun-ramen,https://kimchi.pl/product-pol-4805.html,cereals|eggs|peanuts|soybeans|milk|nuts|celery|mustard|sesame|molluscs,cereals|soybeans|milk,cereals|crustaceans|eggs|fish|peanuts|soybeans|milk|nuts|celery|mustard|sesame|molluscs,eggs|peanuts|nuts|celery|mustard|sesame|molluscs,,crustaceans|fish,"Produkt zawiera pszenicę, gluten, soję oraz mleko. Wy","produkowany w fabryce, w której przetwarzane są: seler, produkty zbożowe zawierające gluten, skorupiaki, jaja, ryby, mleko, małże, musztardę, orzechy i orzeszki ziemne, sezam, produkty sojowe. Przechowywać w suchym i chłodnym miejscu, z dala od działania promieni słonecznych."
KIMCHI-4751,Danie o smaku ostrego kurczaka Yakisoba Buldak 5 x 125g - Samyang Japan,dania-gotowe,https://kimchi.pl/product-pol-4751.html,cereals|peanuts|soybeans|nuts|sesame,cereals|soybeans|molluscs,crustaceans|eggs|peanuts|milk|nuts|sesame,peanuts|nuts|sesame,molluscs,crustaceans|eggs|milk,"Produkt zawiera pszenicę, soję oraz ostrygi. Wy","produkowany w fabryce, w której przetwarzane są: krewetki, kraby, jajka, składniki mleczne, orzeszki ziemne, kalmary, orzechy włoskie i sezam. Przechowywać w suchym i chłodnym miejscu, z dala od działania promieni słonecznych."
KIMCHI-5286,Danie o smaku ostrego kurczaka Yangnyeom Buldak 5 x 140g - Samyang Japan,dania-gotowe,https://kimchi.pl/product-pol-5286.html,cereals|soybeans|sesame,cereals|soybeans|sesame,,,,,"Produkt zawiera pszenicę, soję oraz sezam. Przechowywać w suchym i chłodnym miejscu, z dala od działania promieni słonecznych.",
