field_key,source_table,source_column,product_id,product_image_id,product_code,legacy_kimchi_slug,product_slug,image_file,source_url,target_url,source_http_status,source_http_ok,source_content_type,source_content_length,notes
product_images:b0edef3f-19cf-4b81-a955-8ba9d02e8c47:image_large_url,product_images,image_large_url,c0db8c63-43cc-4dcb-a508-91c5ab7f76ac,b0edef3f-19cf-4b81-a955-8ba9d02e8c47,ADG-000006,KIMCHI-20,wasabi-w-proszku-1kg-inaka,2.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-20/2.webp,https://img.zira.pl/asiandeligo/products/ADG-000006/2.webp,200,true,image/webp,22996,
products:5e998261-e707-4402-8569-8108eaaa3fea:image_url,products,image_url,5e998261-e707-4402-8569-8108eaaa3fea,,ADG-000007,KIMCHI-22,sos-sojowy-koikuchi-naturalnie-warzony-500ml-yamasa,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-22/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000007/1.webp,200,true,image/webp,42054,
product_images:c903ff6f-98c0-4fba-8225-a9f4e141b224:image_large_url,product_images,image_large_url,5e998261-e707-4402-8569-8108eaaa3fea,c903ff6f-98c0-4fba-8225-a9f4e141b224,ADG-000007,KIMCHI-22,sos-sojowy-koikuchi-naturalnie-warzony-500ml-yamasa,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-22/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000007/1.webp,200,true,image/webp,42054,
products:b9955ac8-56d2-4189-aa41-c4049e72cd08:image_url,products,image_url,b9955ac8-56d2-4189-aa41-c4049e72cd08,,ADG-000008,KIMCHI-24,sos-sojowy-koikuchi-dyspenser-150ml-yamasa,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-24/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000008/1.webp,200,true,image/webp,34638,
product_images:1df944d9-1675-4fe3-b9c6-4bcc51921a14:image_large_url,product_images,image_large_url,b9955ac8-56d2-4189-aa41-c4049e72cd08,1df944d9-1675-4fe3-b9c6-4bcc51921a14,ADG-000008,KIMCHI-24,sos-sojowy-koikuchi-dyspenser-150ml-yamasa,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-24/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000008/1.webp,200,true,image/webp,34638,
products:0771cceb-b817-4c21-917d-00950847e95a:image_url,products,image_url,0771cceb-b817-4c21-917d-00950847e95a,,ADG-000009,KIMCHI-27,pasta-wasabi-w-tubce-43g-s-and-b,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-27/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000009/1.webp,200,true,image/webp,39966,
product_images:24101da7-d430-4e48-aba4-edadcbd5ac87:image_large_url,product_images,image_large_url,0771cceb-b817-4c21-917d-00950847e95a,24101da7-d430-4e48-aba4-edadcbd5ac87,ADG-000009,KIMCHI-27,pasta-wasabi-w-tubce-43g-s-and-b,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-27/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000009/1.webp,200,true,image/webp,39966,
products:5797bd74-d97b-4432-973e-38cd1701a3be:image_url,products,image_url,5797bd74-d97b-4432-973e-38cd1701a3be,,ADG-000010,KIMCHI-29,paleczki-bambusowe-21cm-w-kopertach-50-par,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-29/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000010/1.webp,200,true,image/webp,28108,
product_images:3f07d34d-d473-4802-bac3-0cb966de4ad5:image_large_url,product_images,image_large_url,5797bd74-d97b-4432-973e-38cd1701a3be,3f07d34d-d473-4802-bac3-0cb966de4ad5,ADG-000010,KIMCHI-29,paleczki-bambusowe-21cm-w-kopertach-50-par,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-29/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000010/1.webp,200,true,image/webp,28108,
products:e4e1e936-ba74-4c40-a06a-ce9630d9fbca:image_url,products,image_url,e4e1e936-ba74-4c40-a06a-ce9630d9fbca,,ADG-000011,KIMCHI-31,paleczki-bambusowe-21cm-w-kopertach-100-par,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-31/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000011/1.webp,200,true,image/webp,27812,
